document_number,abstract,agencies,excerpts,html_url,pdf_url,public_inspection_pdf_url,publication_date,title,type
06-1102,"We, the U.S. Fish and Wildlife Service (Service), announce our intention to conduct rulemaking to establish a distinct population segment (DPS) of the gray wolf (Canis lupus) in the Northern Rocky Mountains of the United States (NRM). The NRM DPS of gray wolf encompasses the eastern one-third of Washington and Oregon, a small part of north-central Utah, and all of Montana, Idaho, and Wyoming. The threats to the wolf population in the NRM DPS have been reduced or eliminated as evidenced by the population exceeding the numerical, distributional, and temporal recovery goals each year since 2002. The States of Montana and Idaho have adopted State laws and State wolf management plans that would conserve a recovered NRM wolf population within their boundaries into the foreseeable future. However, we have determined that Wyoming State law and its wolf management plan do not provide the necessary regulatory mechanism to assure that Wyoming's share of a recovered NRM wolf population will be conserved if the ESA's protections were removed. Therefore, we intend to conduct a future rulemaking to propose that the gray wolf in the NRM wolf DPS be removed from the List of Threatened and Endangered Wildlife under the Endangered Species Act of 1973 (ESA), as amended, if Wyoming adopts a State law and a State wolf management plan that is approved by the Service. Concerns regarding the Wyoming plan would have to be resolved before a NRM DPS delisting could be finalized. This ANPRM is being issued in advance of completion of the 12 month status review of NRM wolves. This status review remains in progress.","[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]"," &#8230;  wolves' high exposure to it. 
 <span class=""match"">Lyme</span> disease, caused by the spirochete &#8230; , eastern chipmunks, coyotes, and wolves. <span class=""match"">Lyme</span> disease has not been reported &#8230; ",https://www.federalregister.gov/documents/2006/02/08/06-1102/endangered-and-threatened-wildlife-and-plants-designating-the-northern-rocky-mountain-population-of,https://www.govinfo.gov/content/pkg/FR-2006-02-08/pdf/06-1102.pdf,,2006-02-08,Endangered and Threatened Wildlife and Plants; Designating the Northern Rocky Mountain Population of Gray Wolf as a Distinct Population Segment; Removing the Northern Rocky Mountain Distinct Population Segment of Gray Wolf From the Federal List of Endangered and Threatened Wildlife,Proposed Rule
05-24336,"The Commander, First Coast Guard District, has issued a temporary deviation from the drawbridge operation regulations for the Amtrak Old Saybrook-Old Lyme Bridge (Old Saybrook-Old Lyme Bridge), mile 3.4, across the Connecticut River, Connecticut. This deviation from the regulations allows the bridge to operate on a fixed schedule for bridge openings and two three-day closures from January 3, 2006 through February 1, 2006. This deviation is necessary in order to facilitate necessary scheduled bridge maintenance.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Saybrook-Old <span class=""match"">Lyme</span> Bridge (Old Saybrook-Old <span class=""match"">Lyme</span> Bridge), mile 3 &#8230;  INFORMATION: 
 The Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, at mile 3.4 &#8230;  allows the Old Saybrook-Old <span class=""match"">Lyme</span> Bridge to operate from January &#8230; ",https://www.federalregister.gov/documents/2005/12/22/05-24336/drawbridge-operation-regulations-connecticut-river-ct,https://www.govinfo.gov/content/pkg/FR-2005-12-22/pdf/05-24336.pdf,,2005-12-22,"Drawbridge Operation Regulations: Connecticut River, CT",Rule
E5-7038,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230; +T-lymphocytopenia, Kawasaki Syndrome, Legionellosis, <span class=""match"">Lyme</span> disease, Malaria, Plague, Q Fever &#8230; .7 
 269 
 20/60 
 90 
 
 
 <span class=""match"">Lyme</span> Disease Report 
 52 
 261 
 20 &#8230; ",https://www.federalregister.gov/documents/2005/12/08/E5-7038/proposed-data-collections-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2005-12-08/pdf/E5-7038.pdf,,2005-12-08,Proposed Data Collections Submitted for Public Comment and Recommendations,Notice
05-22160,"This rule addresses Medicare Part B payment policy, including the physician fee schedule that are applicable for calendar year (CY) 2006; and finalizes certain provisions of the interim final rule to implement the Competitive Acquisition Program (CAP) for Part B Drugs. It also revises Medicare Part B payment and related policies regarding: Physician work; practice expense (PE) and malpractice relative value units (RVUs); Medicare telehealth services; multiple diagnostic imaging procedures; covered outpatient drugs and biologicals; supplemental payments to Federally Qualified Health Centers (FQHCs); renal dialysis services; coverage for glaucoma screening services; National Coverage Decision (NCD) timeframes; and physician referrals for nuclear medicine services and supplies to health care entities with which they have financial relationships. In addition, the rule finalizes the interim RVUs for CY 2005 and issues interim RVUs for new and revised procedure codes for CY 2006. This rule also updates the codes subject to the physician self-referral prohibition and discusses payment policies relating to teaching anesthesia services, therapy caps, private contracts and opt-out, and chiropractic and oncology demonstrations. As required by the statute, it also announces that the physician fee schedule update for CY 2006 is -4.4 percent, the initial estimate for the sustainable growth rate for CY 2006 is 1.7 percent and the conversion factor for CY 2006 is $36.1770.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  
 0.00 
 XXX 
 
 
 90665 
 
 E 
 <span class=""match"">Lyme</span> disease vaccine, im 
 0.00 &#8230; ",https://www.federalregister.gov/documents/2005/11/21/05-22160/medicare-program-revisions-to-payment-policies-under-the-physician-fee-schedule-for-calendar-year,https://www.govinfo.gov/content/pkg/FR-2005-11-21/pdf/05-22160.pdf,,2005-11-21,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule for Calendar Year 2006 and Certain Provisions Related to the Competitive Acquisition Program of Outpatient Drugs and Biologicals Under Part B,Rule
05-22647,"The Commander, First Coast Guard District, has issued a temporary deviation from the drawbridge operation regulations for the Amtrak Old Saybrook-Old Lyme Bridge, mile 3.4, across the Connecticut River, Connecticut. This deviation from the regulations allows the bridge to operate on a fixed schedule for bridge openings from November 21, 2005 through December 22, 2005. This deviation is necessary in order to facilitate necessary scheduled bridge maintenance.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  the Amtrak Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, mile 3.4, across &#8230;  INFORMATION: 
 The Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, at mile 3.4 &#8230;  allows the Old Saybrook-Old <span class=""match"">Lyme</span> Bridge to operate from November &#8230; ",https://www.federalregister.gov/documents/2005/11/16/05-22647/drawbridge-operation-regulations-connecticut-river-ct,https://www.govinfo.gov/content/pkg/FR-2005-11-16/pdf/05-22647.pdf,,2005-11-16,"Drawbridge Operation Regulations: Connecticut River, CT",Rule
05-22136,"This final rule with comment period revises the Medicare hospital outpatient prospective payment system to implement applicable statutory requirements and changes arising from our continuing experience with this system and to implement certain related provisions of the Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003. In addition, the final rule with comment period describes changes to the amounts and factors used to determine the payment rates for Medicare hospital outpatient services paid under the prospective payment system. This final rule with comment period also changes the requirement for physician oversight of mid-level practitioners in critical access hospitals (CAHs). In this final rule with comment period, we also are responding to public comments received on the November 15, 2004, final rule with comment period pertaining to the ambulatory payment classification (APC) group assignment of Healthcare Common Procedure Coding System (HCPCS) codes identified in Addendum B of that rule with the new interim (NI) comment indicator. These changes are applicable to services furnished on or after January 1, 2006.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  2006 
 
 HCPCS  1 
 
 Description 
 
 
 90665 
 <span class=""match"">Lyme</span> disease vaccine, im. 
 
 
 90717 
 Yellow &#8230; ",https://www.federalregister.gov/documents/2005/11/10/05-22136/medicare-program-changes-to-the-hospital-outpatient-prospective-payment-system-and-calendar-year,https://www.govinfo.gov/content/pkg/FR-2005-11-10/pdf/05-22136.pdf,,2005-11-10,Medicare Program; Changes to the Hospital Outpatient Prospective Payment System and Calendar Year 2006 Payment Rates,Rule
05-18014,,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]"," &#8230; , Westbrook, Old Saybrook, Old <span class=""match"">Lyme</span>, East <span class=""match"">Lyme</span>, Waterford, and New London. There &#8230; , New London, Waterford, and East <span class=""match"">Lyme</span>, pumpout facilities discharge directly to &#8230;  Pumpout Boat 
 Niantic River, East <span class=""match"">Lyme</span>, Waterford 
 VHF CH 68 
 May &#8230; . 
 
 
 Niantic Dockominium 
 Niantic River, East <span class=""match"">Lyme</span> 
 860-739-8585 
 May 15 &#8230; ",https://www.federalregister.gov/documents/2005/09/16/05-18014/connecticut-marine-sanitation-device-standard-receipt-of-petition,https://www.govinfo.gov/content/pkg/FR-2005-09-16/pdf/05-18014.pdf,,2005-09-16,Connecticut Marine Sanitation Device Standard; Receipt of Petition,Notice
05-17243,"This Notice identifies unutilized, underutilized, excess, and surplus Federal property reviewed by HUD for suitability for possible use to assist the homeless.","[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]"," &#8230; -RP 
 New Hampshire 
 
 CRREL Greenhouse 
 <span class=""match"">Lyme</span> Road 
 Hanover Co: Grafton NH &#8230; ",https://www.federalregister.gov/documents/2005/09/02/05-17243/federal-property-suitable-as-facilities-to-assist-the-homeless,https://www.govinfo.gov/content/pkg/FR-2005-09-02/pdf/05-17243.pdf,,2005-09-02,Federal Property Suitable as Facilities To Assist the Homeless,Notice
05-16699,"This document corrects technical errors that appeared in the proposed rule published in the Federal Register on July 25, 2005 entitled ``Medicare Program; Proposed Changes to the Hospital Outpatient Prospective Payment System and Calendar Year 2006 Payment Rates; Proposed Rule.''","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  antibody 
 
 
 
 
 
 
 
 86617 
 A 
 
 <span class=""match"">Lyme</span> disease antibody 
 
 
 
 
 
 
 
 86618 
 A 
 
 <span class=""match"">Lyme</span> disease antibody 
 
 
 
 
 
 
 
 86619 &#8230;  
 
 
 
 
 
 
 
 87475 
 A 
 
 <span class=""match"">Lyme</span> dis, dna, dir probe 
 
 
 
 
 
 
 
 87476 
 A 
 
 <span class=""match"">Lyme</span> dis, dna &#8230; , amp probe 
 
 
 
 
 
 
 
 87477 
 A 
 
 <span class=""match"">Lyme</span> dis, dna &#8230; ",https://www.federalregister.gov/documents/2005/08/26/05-16699/medicare-program-proposed-changes-to-the-hospital-outpatient-prospective-payment-system-and-calendar,https://www.govinfo.gov/content/pkg/FR-2005-08-26/pdf/05-16699.pdf,,2005-08-26,Medicare Program; Proposed Changes to the Hospital Outpatient Prospective Payment System and Calendar Year 2006 Payment Rates; Correction,Proposed Rule
E5-4526,,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}, {'raw_name': 'Federal Energy Regulatory Commission', 'name': 'Federal Energy Regulatory Commission', 'id': 167, 'url': 'https://www.federalregister.gov/agencies/federal-energy-regulatory-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/167.json', 'parent_id': 136, 'slug': 'federal-energy-regulatory-commission'}]"," &#8230; .m. (e.s.t.) 
 East <span class=""match"">Lyme</span> High School Auditorium, 30 Chesterfield &#8230;  Road, East <span class=""match"">Lyme</span>, CT 06333, Phone: (860) 739 &#8230; ",https://www.federalregister.gov/documents/2005/08/19/E5-4526/broadwater-energy-notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-broadwater,https://www.govinfo.gov/content/pkg/FR-2005-08-19/pdf/E5-4526.pdf,,2005-08-19,"Broadwater Energy; Notice of Intent To Prepare an Environmental Impact Statement for the Broadwater LNG Project; Request for Comments on Environmental Issues, and Notice of Joint Public Meetings",Notice
05-16287,"In accordance with the requirements in Title 33 Code of Federal Regulations (CFR), Section 127.009, the U.S. Coast Guard Captain of the Port (COTP) Long Island Sound, is preparing a Letter of Recommendation as to the suitability of Long Island Sound for liquefied natural gas (LNG) marine traffic. This Letter of Recommendation will encompass the marine safety and security aspects associated with the proposed Broadwater LNG facility. The letter of recommendation is in response to a Letter of Intent submitted by Broadwater Energy, a joint venture of Shell Oil and TransCanada Corporation, to construct and operate an offshore floating, storage and regasification unit (FSRU) for liquefied natural gas (LNG) in the New York State waters of Long Island Sound. Because the proposed facility would be located in state waters, the Federal Energy Regulatory Commission (FERC) is the lead Federal agency for this proposed project. The COTP Long Island Sound is soliciting written comments and related material, and will join FERC at four public meetings seeking comments, pertaining specifically to maritime safety and security aspects of the proposed LNG facility. In preparation for issuance of a letter of recommendation and the completion of certain other regulatory mandates, the COTP Long Island Sound will consider comments received from the public as input into the Coast Guard's assessment of potential waterway safety and port security issues associated with the proposed facility.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230; , at E. <span class=""match"">Lyme</span> High School, 30 Chesterfield Road, East <span class=""match"">Lyme</span>, CT; and &#8230; ",https://www.federalregister.gov/documents/2005/08/16/05-16287/letter-of-recommendation-proposed-broadwater-lng-project-long-island-sound,https://www.govinfo.gov/content/pkg/FR-2005-08-16/pdf/05-16287.pdf,,2005-08-16,"Letter of Recommendation; Proposed Broadwater LNG Project, Long Island Sound",Notice
05-15370,"This proposed rule would refine the resource-based practice expense relative value units (PE RVUs) and propose changes to payment based on supplemental survey data for practice expense and revisions to our methodology for calculating practice expense RVUs, as well as make other proposed changes to Medicare Part B payment policy. We are also proposing policy changes related to revisions to malpractice RVUs, in addition to revising the list of telehealth services. In this proposed rule, we also discuss multiple procedure payment reduction for diagnostic imaging, and several coding issues. We are proposing these changes to ensure that our payment systems are updated to reflect changes in medical practice and the relative value of services. This proposed rule also discusses geographic locality changes; payment for covered outpatient drugs and biologicals; supplemental payments to federally qualified health centers (FQHCs); payment for renal dialysis services; the national coverage decision (NCD) process; coverage of screening for glaucoma; private contracts; and physician referrals for nuclear medicine services and supplies to health care entities with which they have financial relationships. In addition, we include discussions on payment for teaching anesthesiologists, the therapy cap, the chiropractic demonstration and the Sustainable Growth Rate (SGR).","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  
 0.00 
 XXX 
 
 
 90665 
 
 E 
 <span class=""match"">Lyme</span> disease vaccine, im 
 0.00 &#8230; ",https://www.federalregister.gov/documents/2005/08/08/05-15370/medicare-program-revisions-to-payment-policies-under-the-physician-fee-schedule-for-calendar-year,https://www.govinfo.gov/content/pkg/FR-2005-08-08/pdf/05-15370.pdf,,2005-08-08,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule for Calendar Year 2006,Proposed Rule
05-15076,"The Coast Guard is revising regulations governing safety zones for fireworks displays in Long Island Sound. This revision establishes 9 new permanent safety zones, revises the location for one established fireworks safety zone, and amends the notification and enforcement provisions to include additional launches from beach areas. This action is necessary to provide for the safety of life on navigable waters during the events.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Black Point Beach, East <span class=""match"">Lyme</span>, CT; and in Northport Bay &#8230;  Black Point Beach in East <span class=""match"">Lyme</span>, CT, within a 1000-foot &#8230;  Black Point Beach in East <span class=""match"">Lyme</span>, CT, within a 1000-foot &#8230; ",https://www.federalregister.gov/documents/2005/07/29/05-15076/safety-zones-long-island-sound-annual-fireworks-displays,https://www.govinfo.gov/content/pkg/FR-2005-07-29/pdf/05-15076.pdf,,2005-07-29,Safety Zones; Long Island Sound Annual Fireworks Displays,Rule
05-14799,"The Department of the Navy hereby gives notice of its intent to grant to Sensera, Inc., a revocable, nonassignable, exclusive license, to practice in the field of in vitro diagnosis of human disease(s) and determination of disease indicators for the subfields of Point of Care Rapid Diagnosis of Cardiac Infarction Indictors such as cardiac Troponin I, cardiac Troponin T, Myoglobin, and Creatine Kinase- Myocardial Band; Point of Care Rapid Diagnosis of Stroke Indicators; Point of Care Rapid Diagnosis of Cancer Markers such as those for breast, prostate, colorectal, and cervical cancer and Point of Care Rapid Diagnosis of Infectious Disease such as Sexually Transmitted diseases, Hepatitis, TB, tropical traveler's diseases, Lyme disease, toxoplasmosis, cryptosporidium in drinking water, Group A strep, antibiotic resistant staph and strep in the United States and certain foreign countries, the Government-owned inventions described in U.S. Patent No. 5,372,930: Sensors for Ultra-Low Concentration Molecular Recognition, Navy Case No. 73,568//U.S. Patent No. 5,807,758: Chemical and Biological Sensor Using an Ultra-Sensitive Force Transducer, Navy Case No. 76,628//U.S. Patent No. 6,180,418: Force Discrimination Assay, Navy Case No. 78,183//U.S. Patent No. 6,676,904: Nanoporous Membrane Immunosensor, Navy Case No. 80,068.","[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Navy', 'name': 'Navy Department', 'id': 378, 'url': 'https://www.federalregister.gov/agencies/navy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/378.json', 'parent_id': 103, 'slug': 'navy-department'}]"," &#8230; , TB, tropical traveler's diseases, <span class=""match"">Lyme</span> disease, toxoplasmosis, cryptosporidium in drinking &#8230; ",https://www.federalregister.gov/documents/2005/07/27/05-14799/notice-of-intent-to-grant-exclusive-patent-license-sensera-inc,https://www.govinfo.gov/content/pkg/FR-2005-07-27/pdf/05-14799.pdf,,2005-07-27,"Notice of Intent to Grant Exclusive Patent License; Sensera, Inc.",Notice
05-14448,"This proposed rule would revise the Medicare hospital outpatient prospective payment system to implement applicable statutory requirements and changes arising from our continuing experience with this system and to implement certain related provisions of the Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003. In addition, the proposed rule describes proposed changes to the amounts and factors used to determine the payment rates for Medicare hospital outpatient services paid under the prospective payment system. This proposed rule would also change the requirement for physician oversight of mid-level practitioners in critical access hospitals (CAHs). These changes would be applicable to services furnished on or after January 1, 2006.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  antibody 
 
 
 
 
 
 
 
 86617 
 A 
 
 <span class=""match"">Lyme</span> disease antibody 
 
 
 
 
 
 
 
 86618 
 A 
 
 <span class=""match"">Lyme</span> disease antibody 
 
 
 
 
 
 
 
 86619 &#8230;  
 
 
 
 
 
 
 
 87475 
 A 
 
 <span class=""match"">Lyme</span> dis, dna, dir probe 
 
 
 
 
 
 
 
 87476 
 A 
 
 <span class=""match"">Lyme</span> dis, dna &#8230; , amp probe 
 
 
 
 
 
 
 
 87477 
 A 
 
 <span class=""match"">Lyme</span> dis, dna &#8230; ",https://www.federalregister.gov/documents/2005/07/25/05-14448/medicare-program-proposed-changes-to-the-hospital-outpatient-prospective-payment-system-and-calendar,https://www.govinfo.gov/content/pkg/FR-2005-07-25/pdf/05-14448.pdf,,2005-07-25,Medicare Program; Proposed Changes to the Hospital Outpatient Prospective Payment System and Calendar Year 2006 Payment Rates,Proposed Rule
05-10882,"Section 8(c)(1) of the United States Housing Act of 1937 (USHA) requires the Secretary to publish FMRs periodically, but not less than annually, adjusted to be effective on October 1 of each year. Today's notice proposes FMRs for FY2006. The proposed numbers would amend FMR schedules used to determine payment standard amounts for the Housing Choice Voucher program, to determine initial renewal rents for some expiring project-based Section 8 contracts, and to determine initial rents for housing assistance payment (HAP) contracts in the Moderate Rehabilitation Single Room Occupancy program. Other programs may require use of FMRs for other purposes. The proposed FY2006 FMRs in this notice differ from the final FY2005 and previous year FMRs in that they were calculated using the revised Office of Management and Budget (OMB) area definitions that were issued in 2003. For FY2006, HUD is using the county-based statistical areas as defined by OMB, with some modifications. The FMR estimates have been trended to April 2006, the midpoint of FY2006.","[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]"," &#8230; , CT HUD Metro FMR Area. 
 
 
 
 <span class=""match"">Lyme</span> town 
 New London County 
 Norwich &#8230; ",https://www.federalregister.gov/documents/2005/06/02/05-10882/proposed-fair-market-rents-for-fiscal-year-2006-for-housing-choice-voucher-moderate-rehabilitation,https://www.govinfo.gov/content/pkg/FR-2005-06-02/pdf/05-10882.pdf,,2005-06-02,"Proposed Fair Market Rents for Fiscal Year 2006 for Housing Choice Voucher, Moderate Rehabilitation Single Room Occupancy and Certain Other HUD Programs",Notice
05-8940,"The Coast Guard proposes to revise regulations governing safety zones for fireworks displays in Long Island Sound. This revision would establish 9 new permanent safety zones, would revise the location for one established fireworks safety zone, and would amend the notification and enforcement provisions to include additional launches from beach areas. This action is necessary to provide for the safety of life on navigable waters during the events.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Black Point Beach, East <span class=""match"">Lyme</span>, CT; and in Northport Bay &#8230;  Black Point Beach in East <span class=""match"">Lyme</span>, CT, within a 1000-foot &#8230;  Black Point Beach in East <span class=""match"">Lyme</span>, CT, within a 1000-foot &#8230; ",https://www.federalregister.gov/documents/2005/05/05/05-8940/safety-zones-long-island-sound-annual-fireworks-displays,https://www.govinfo.gov/content/pkg/FR-2005-05-05/pdf/05-8940.pdf,,2005-05-05,Safety Zones; Long Island Sound Annual Fireworks Displays,Proposed Rule
