document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
E8-3545,The Securities and Exchange Commission is adopting rule amendments mandating the electronic filing of information required by Securities Act of 1933 Form D through the Internet. We also are adopting revisions to Form D and to Regulation D in connection with the electronic filing requirement. The revisions simplify and restructure Form D and update and revise its information requirements. The information required by Form D will be filed with us electronically through a new online filing system that will be accessible from any computer with Internet access. The data filed will be available on our Web site and will be interactive and searchable.,Final rule.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2008-02-27,False,,Electronic Filing and Revision of Form D,"['Reporting and recordkeeping requirements', 'Securities']",Rule,Business Intelligence
E7-13018,The Securities and Exchange Commission is publishing for comment proposals that would mandate the electronic filing of information required by Securities Act of 1933 Form D. We also are proposing revisions to Form D and to Regulation D in connection with the electronic filing proposals. The revisions would simplify and restructure Form D and update and revise its information requirements. The information required by Form D would be filed with us electronically through a new online filing system that would be accessible from any computer with Internet access. The data filed would be available on our Web site and would be interactive and easily searchable by regulators and members of the public who choose to access it.,Proposed rule.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2007-07-09,False,,Electronic Filing and Simplification of Form D,"['Reporting and recordkeeping requirements', 'Securities']",Proposed Rule,Business Intelligence
06-5459,"This notice provides in one issue of the Federal Register an accurate and complete text of the Office of Personnel Management's eight Governmentwide systems of records notices most widely used by individuals and Privacy Act officers. This notice proposes to add a new Category of Records and a new Routine Use to one system of records and amends a Category of Records in the same system. This notice will also make administrative changes to reflect changes in the name and location of system managers for all Governmentwide systems of records. We are amending a Category of Records, adding a new Category of Records and adding a new Routine Use in OPM's Governmentwide-1 system of records. In addition, we are making needed administrative changes necessitated by changes in office titles of system managers for all eight systems of records that have occurred in the OPM's reorganization since the last publication of these notices on April 27, 2000.",Notice; publication of the eight Governmentwide systems of records managed by the Office of Personnel Management (OPM).,"[{'raw_name': 'OFFICE OF PERSONNEL MANAGEMENT', 'name': 'Personnel Management Office', 'id': 406, 'url': 'https://www.federalregister.gov/agencies/personnel-management-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/406.json', 'parent_id': None, 'slug': 'personnel-management-office'}]",['Personnel Management Office'],2006-06-19,2006-06-19,,,"Privacy Act of 1974; Publication of Notice of Systems of Records, a Proposed New Routine Use, New Category of Records and an Amendment of a Current Category of Records",[],Notice,Business Intelligence
05-21328,,,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2005-10-26,,,Submission for OMB Review; Comment Request,[],Notice,Business Intelligence
05-18974,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2005-09-23,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Business Intelligence
04-23641,,,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2004-10-22,,,Submission for OMB Review; Comment Request,[],Notice,Business Intelligence
04-14836,"The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burdens, invites the general public and other Federal agencies to take this opportunity to comment on the continuing information collections, as required by the Paperwork Reduction Act of 1995, Public Law 104-13 (44 U.S.C. 3506 (c)(2)(A)).",Proposed collection; comment request.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2004-06-30,,,International Trade Administration; BISNIS Finance Link,[],Notice,Business Intelligence
01-17969,,,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2001-07-18,,,Submission for OMB Review; Comment Request,[],Notice,Business Intelligence
01-5010,"The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on the continuing information collections, as required by the Paperwork Reduction Act of 1995, Public Law 104-13 (44 U.S.C. 3506(c)(2)(A)).",,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",,2001-03-01,,,Proposed Collection; Comment Request; BISNIS FinanceLink,[],Notice,Business Intelligence
98-10910,,,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,1998-04-24,,,Submission for OMB Review; Comment Request,[],Notice,Business Intelligence
