document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type
2016-18708,"We are adopting a new airworthiness directive (AD) for certain Continental Motors, Inc., (CMI) San Antonio (formerly known as Airmotive Engineering Corp. (AEC)), replacement parts manufacturer approval (PMA) cylinder assemblies marketed by Engine Components International Division (ECi). On July 17, 2015, AEC was purchased by CMI and is now operating as ``Continental Motors--San Antonio.'' These cylinder assemblies are used on all CMI model -520 and -550 reciprocating engines, and on all other CMI engine models approved for the use of model -520 and -550 cylinder assemblies, such as the CMI model -470 when modified by supplemental type certificate (STC). This AD was prompted by reports of multiple cylinder head-to-barrel separations and cracked and leaking aluminum cylinder heads. This AD requires removal of the affected cylinder assemblies, including overhauled cylinder assemblies, according to a phased removal schedule. We are issuing this AD to prevent failure of the cylinder assemblies, which could lead to failure of the engine, in-flight shutdown, and loss of control of the airplane.",Final rule.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Aviation Administration', 'name': 'Federal Aviation Administration', 'id': 159, 'url': 'https://www.federalregister.gov/agencies/federal-aviation-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/159.json', 'parent_id': 492, 'slug': 'federal-aviation-administration'}]","['Transportation Department', 'Federal Aviation Administration']",2016-09-15,2016-08-11,False,,"Airworthiness Directives; Continental Motors, Inc. Reciprocating Engines","['Air transportation', 'Aircraft', 'Aviation safety', 'Safety']",Rule
2016-17230,"This final rule requires all local educational agencies that participate in the National School Lunch and School Breakfast Programs to meet expanded local school wellness policy requirements consistent with the requirements set forth in section 204 of the Healthy, Hunger- Free Kids Act of 2010. The final rule requires each local educational agency to establish minimum content requirements for the local school wellness policies, ensure stakeholder participation in the development and updates of such policies, and periodically assess and disclose to the public schools' compliance with the local school wellness policies. These regulations are expected to result in local school wellness policies that strengthen the ability of a local educational agency to create a school nutrition environment that promotes students' health, well-being, and ability to learn. In addition, these regulations will increase transparency for the public with regard to school wellness policies and contribute to integrity in the school nutrition program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200.json', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","['Agriculture Department', 'Food and Nutrition Service']",2016-08-29,2016-07-29,True,,"Local School Wellness Policy Implementation Under the Healthy, Hunger-Free Kids Act of 2010","['Grant programs-education', 'Grant programs-education', 'Grant programs-health', 'Grant programs-health', 'Nutrition', 'Nutrition', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements', 'School breakfast and lunch programs', 'School breakfast and lunch programs']",Rule
2016-16883,"The Federal Transit Administration is publishing a final rule to define the term state of good repair and to establish minimum Federal requirements for transit asset management that will apply to all recipients and subrecipients of chapter 53 funds that own, operate, or manage public transportation capital assets. This final rule requires public transportation providers to develop and implement out transit asset management (TAM) plans. TAM plans must include an asset inventory, condition assessments of inventoried assets, and a prioritized list of investments to improve the state of good repair of their capital assets. This final rule also establishes state good repair standards and four state of good repair (SGR) performance measures. Transit providers are required to set performance targets for their capital assets based on the SGR measures and report their targets, as well as information related to the condition of their capital assets, to the National Transit Database.",Final rule.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Transit Administration', 'name': 'Federal Transit Administration', 'id': 193, 'url': 'https://www.federalregister.gov/agencies/federal-transit-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/193.json', 'parent_id': 492, 'slug': 'federal-transit-administration'}]","['Transportation Department', 'Federal Transit Administration']",2016-10-01,2016-07-26,True,,Transit Asset Management; National Transit Database,[],Rule
2016-17648,"We are proposing to amend the horse protection regulations to provide that the Animal and Plant Health Inspection Service (APHIS) will train and license Designated Qualified Persons (DQPs) to inspect horses at horse shows, exhibitions, sales, and auctions for compliance with the Horse Protection Act. DQPs are currently trained and licensed through programs certified by APHIS and initiated and maintained by horse industry organizations (HIOs). Under this proposal, APHIS will train and license DQPs on an individual basis. The proposed changes to the regulations would relieve HIOs of all regulatory burdens and requirements. We would also establish a process by which APHIS could revoke the license of a DQP for professional misconduct or failure to conduct inspections in accordance with the regulations. We would establish requirements to minimize conflicts of interest between DQPs and others within the horse industry that enable the practice of soring. We are also proposing several changes to the responsibilities of management of horse shows, exhibitions, sales, and auctions, as well as changes to the list of devices, equipment, substances, and practices that can cause soring or are otherwise prohibited under the Horse Protection Act and regulations. Additionally, we are proposing to amend the inspection procedures that DQPs are required to perform. These actions would strengthen existing requirements intended to protect horses from the unnecessary and cruel practice of soring and eliminate unfair competition.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Animal and Plant Health Inspection Service', 'name': 'Animal and Plant Health Inspection Service', 'id': 22, 'url': 'https://www.federalregister.gov/agencies/animal-and-plant-health-inspection-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/22.json', 'parent_id': 12, 'slug': 'animal-and-plant-health-inspection-service'}]","['Agriculture Department', 'Animal and Plant Health Inspection Service']",,2016-07-26,False,,Horse Protection; Licensing of Designated Qualified Persons and Other Amendments,"['Animal welfare', 'Horses', 'Reporting and recordkeeping requirements']",Proposed Rule
2016-17500,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",2016-08-25,2016-07-25,,,Office of Direct Service and Contracting Tribes National Indian Health Outreach and Education-Health Reform Funding Opportunity,[],Notice
2016-13490,"The Bureau of Consumer Financial Protection (Bureau or CFPB) is proposing to establish 12 CFR 1041, which would contain regulations creating consumer protections for certain consumer credit products. The proposed regulations would cover payday, vehicle title, and certain high-cost installment loans.",Proposed rule with request for public comment.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2016-07-22,True,,"Payday, Vehicle Title, and Certain High-Cost Installment Loans",[],Proposed Rule
2016-14893,"This document contains proposed changes to the Form 5500 Annual Return/Report forms, including the Form 5500, Annual Return/ Report of Employee Benefit Plan (Form 5500 Annual Return/Report), and the Form 5500-SF, Short Form Annual Return/Report of Small Employee Benefit Plan (Form 5500-SF). The annual returns/reports are filed for employee pension and welfare benefit plans under the Employee Retirement Income Security Act of 1974 (ERISA) and the Internal Revenue Code (Code). The proposed revisions in this Notice reflect efforts of the Department of Labor, the Internal Revenue Service, and the Pension Benefit Guaranty Corporation (collectively Agencies) to improve employee benefit plan reporting for filers, the public, and the Agencies by modernizing financial information filed regarding plans; updating fee and expense information on plan service providers with a focus on harmonizing annual reporting requirements with the Department of Labor's final disclosure requirements enhancing mineability of data filed on annual return/reports; requiring reporting by all group health plans covered by Title I of ERISA, including adding a new Schedule J (Group Health Plan Information); and improving compliance under ERISA and the Code through selected new questions regarding plan operations, service provider relationships, and financial management of the plan. These revisions, which are being proposed in conjunction with a recompete of the ERISA Filing and Acceptance System (EFAST2) contract, if adopted, generally would apply for plan years beginning on or after January 1, 2019. EFAST2 is expected to begin processing the Plan Year 2019 Form 5500 Annual Return/Report beginning January 1, 2020. The proposed revisions would affect employee pension and welfare benefit plans, plan sponsors, administrators, and service providers to plans subject to annual reporting requirements under ERISA and the Code.",Notice of proposed forms revisions.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employee Benefits Security Administration', 'name': 'Employee Benefits Security Administration', 'id': 131, 'url': 'https://www.federalregister.gov/agencies/employee-benefits-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/131.json', 'parent_id': 271, 'slug': 'employee-benefits-security-administration'}, {'raw_name': 'DEPARTMENT OF THE TREASURY', 'name': 'Treasury Department', 'id': 497, 'url': 'https://www.federalregister.gov/agencies/treasury-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/497.json', 'parent_id': None, 'slug': 'treasury-department'}, {'raw_name': 'Internal Revenue Service', 'name': 'Internal Revenue Service', 'id': 254, 'url': 'https://www.federalregister.gov/agencies/internal-revenue-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/254.json', 'parent_id': 497, 'slug': 'internal-revenue-service'}, {'raw_name': 'PENSION BENEFIT GUARANTY CORPORATION', 'name': 'Pension Benefit Guaranty Corporation', 'id': 405, 'url': 'https://www.federalregister.gov/agencies/pension-benefit-guaranty-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/405.json', 'parent_id': None, 'slug': 'pension-benefit-guaranty-corporation'}]","['Labor Department', 'Employee Benefits Security Administration', 'Treasury Department', 'Internal Revenue Service', 'Pension Benefit Guaranty Corporation']",,2016-07-21,True,,Proposed Revision of Annual Information Return/Reports,[],Proposed Rule
2016-14892,"This document contains proposed amendments to Department of Labor (DOL) regulations relating to annual reporting requirements under Part 1 of Subtitle B of Title I of the Employee Retirement Income Security Act of 1974, as amended (ERISA). The proposed amendments contained in this document would conform the DOL's reporting regulations to proposed revisions to the Form 5500 Annual Return/Report of Employee Benefit Plan and Form 5500-SF Short Form Annual Return/ Report of Small Employee Benefit Plan, which are being published concurrently in today's Federal Register in a separate Notice of Proposed Forms Revisions (NPFR) prepared jointly by the Department of Labor (DOL), the Internal Revenue Service (IRS), and the Pension Benefit Guaranty Corporation (PBGC) (collectively the Agencies). The proposed regulation, and related forms revisions, would improve employee benefit plan reporting for filers, the public, and the Agencies. The revision is necessary because the annual return/report forms have not kept pace with market developments and changes in the laws covering employee benefit plans, presenting problems with outdated and missing information that negatively impact the Agencies' effective and efficient protection of employee retirement and health benefits. The proposed revisions would affect employee pension and welfare benefit plans, plan sponsors, administrators, and service providers.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employee Benefits Security Administration', 'name': 'Employee Benefits Security Administration', 'id': 131, 'url': 'https://www.federalregister.gov/agencies/employee-benefits-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/131.json', 'parent_id': 271, 'slug': 'employee-benefits-security-administration'}]","['Labor Department', 'Employee Benefits Security Administration']",,2016-07-21,True,,Annual Reporting and Disclosure,"['Accounting', 'Employee benefit plans', 'Health care', 'Health insurance', 'Reporting and recordkeeping requirements']",Proposed Rule
2016-16097,"This major proposed rule addresses changes to the physician fee schedule and other Medicare Part B payment policies, such as changes to the Value Modifier, to ensure that our payment systems are updated to reflect changes in medical practice and the relative value of services, as well as changes in the statute. This proposed rule also includes proposals related to the Medicare Shared Saving Program, and the release of certain pricing data from Medicare Advantage bids and medical loss ratio reports from Medicare health and drug plans. In addition, this rule proposes to expand the Medicare Diabetes Prevention Program model.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2016-07-15,False,,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Revisions to Part B for CY 2017; Medicare Advantage Pricing Data Release; Medicare Advantage and Part D Medical Low Ratio Data Release; Medicare Advantage Provider Network Requirements; Expansion of Medicare Diabetes Prevention Program Model,"['Administrative practice and procedure', 'Aged', 'Biologics', 'Drugs', 'Emergency medical services', 'Grant programs-health', 'Health care', 'Health facilities', 'Health insurance', 'Health maintenance organizations (HMO)', 'Health professions', 'Health records', 'Kidney diseases', 'Laboratories', 'Loan programs-health', 'Medicaid', 'Medical devices', 'Medicare', 'Penalties', 'Privacy', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays', 'X-rays']",Proposed Rule
2016-16824,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",2016-08-15,2016-07-15,,,"Office of Direct Service and Contracting Tribes; National Indian Health Outreach and Education, Policy/Budget/Diabetes",[],Notice
2016-16819,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",2016-08-15,2016-07-15,,,Office of Direct Service and Contracting Tribes; National Indian Health Outreach and Education II,[],Notice
2016-16531,"The Food and Drug Administration (FDA or we) is amending its regulations for registration of food facilities that require domestic and foreign facilities that manufacture/process, pack, or hold food for human or animal consumption in the United States to register with FDA. This rule amends and updates FDA's registration regulations and is part of our implementation of the FDA Food Safety Modernization Act (FSMA), which added new provisions for the registration of food facilities. These amendments will further enhance FDA's capabilities with respect to responding to food safety issues, and in addition, provide FDA with information that we can use to focus and better utilize our limited inspection resources.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",2016-09-12,2016-07-14,True,,Amendments to Registration of Food Facilities,"['Cosmetics', 'Drugs', 'Exports', 'Food labeling', 'Imports', 'Labeling', 'Reporting and recordkeeping requirements']",Rule
2016-15306,"We are revising the criteria in the Listing of Impairments (listings) that we use to evaluate disability claims involving neurological disorders in adults and children under titles II and XVI of the Social Security Act (Act). These revisions reflect our program experience; advances in medical knowledge, treatment, and methods of evaluating neurological disorders; comments we received from medical experts and the public at an outreach policy conference; responses to an advance notice of proposed rulemaking (ANPRM); and public comments we received in response to a Notice of Proposed Rulemaking (NPRM) and a Federal Register notice that reopened the NPRM comment period.",Final rule.,"[{'raw_name': 'Social Security Administration', 'name': 'Social Security Administration', 'id': 470, 'url': 'https://www.federalregister.gov/agencies/social-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/470.json', 'parent_id': None, 'slug': 'social-security-administration'}]",['Social Security Administration'],2016-09-29,2016-07-01,True,,Revised Medical Criteria for Evaluating Neurological Disorders,"['Administrative practice and procedure', 'Aged', 'Blind', 'Disability benefits', 'Reporting and recordkeeping requirements', 'Social security']",Rule
2016-15188,"This rule proposes to update and make revisions to the End- Stage Renal Disease (ESRD) Prospective Payment System (PPS) for calendar year 2017 as well as proposing to implement policies for coverage and payment for renal dialysis services furnished by an ESRD facility to individuals with acute kidney injury. This rule also proposes to set forth requirements for the ESRD Quality Incentive Program, and proposes to establish and revise requirements for quality reporting and measurement, including the inclusion of new quality measures for payment year (PY) 2020 and beyond and updates to programmatic policies for the PY 2018 and PY 2019 ESRD QIP. This rule also proposes to implement statutory requirements for bid surety bonds and state licensure for the Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) Competitive Bidding Program (CBP). This rule also proposes to expand suppliers' appeal rights in the event of a breach of contract action by CMS. In particular, this rule proposes a revision to current regulations to provide that the appeals process is applicable to all breach of contract actions taken by CMS, rather than just for the termination of a competitive bidding contract. It also proposes changes to the methodologies for adjusting fee schedule amounts for DMEPOS using information from Competitive Bidding Programs and for submitting bids and establishing single payment amounts under the Competitive Bidding Programs for certain groupings of similar items with different features. Changes are also proposed to the methodology for establishing bid limits for items under the DMEPOS Competitive Bidding Programs. In addition, this rule also solicits comments on the impacts of coordinating Medicare and Medicaid Durable Medical Equipment for dually eligible beneficiaries. Finally, this rule announces a request for information related to the Comprehensive ESRD Care Model and future payment models affecting renal care.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2016-06-30,False,,"Medicare Program; End-Stage Renal Disease Prospective Payment System, Coverage and Payment for Renal Dialysis Services Furnished to Individuals with Acute Kidney Injury, End-Stage Renal Disease Quality Incentive Program, Durable Medical Equipment, Prosthetics, Orthotics and Supplies Competitive Bidding Program Bid Surety Bonds, State Licensure and Appeals Process for Breach of Contract Actions, Durable Medical Equipment, Prosthetics, Orthotics and Supplies Competitive Bidding Program and Fee Schedule Adjustments, Access to Care Issues for Durable Medical Equipment; and the Comprehensive End-Stage Renal Disease Care Model","['Administrative practice and procedure', 'Health facilities', 'Health professions', 'Kidney diseases', 'Medicare', 'Reporting and recordkeeping requirements']",Proposed Rule
2016-15082,"Artificial intelligence (AI) technologies offer great promise for creating new and innovative products, growing the economy, and advancing national priorities in areas such as education, mental and physical health, addressing climate change, and more. Like any transformative technology, however, AI carries risks and presents complex policy challenges along a number of different fronts. The Office of Science and Technology Policy (OSTP) is interested in developing a view of AI across all sectors for the purpose of recommending directions for research and determining challenges and opportunities in this field. The views of the American people, including stakeholders such as consumers, academic and industry researchers, private companies, and charitable foundations, are important to inform an understanding of current and future needs for AI in diverse fields. The purpose of this RFI is to solicit feedback on overarching questions in AI, including AI research and the tools, technologies, and training that are needed to answer these questions.",Notice of Request for Information.,"[{'raw_name': 'OFFICE OF SCIENCE AND TECHNOLOGY POLICY', 'name': 'Science and Technology Policy Office', 'id': 464, 'url': 'https://www.federalregister.gov/agencies/science-and-technology-policy-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/464.json', 'parent_id': None, 'slug': 'science-and-technology-policy-office'}]",['Science and Technology Policy Office'],,2016-06-27,,,Request for Information on Artificial Intelligence,[],Notice
2016-14844,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2016-06-21,,Proclamation,"National Week of Making, 2016",[],Presidential Document
2016-14175,"The National Technical Information Service (NTIS) requests proposals from interested for-profit, non-profit, or research performing service organizations to enter into a Joint Venture Partnership with NTIS to assist Federal agencies to develop and implement innovative ways to collect, connect, access, analyze, or use Federal data and data services.",Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Technical Information Service', 'name': 'National Technical Information Service', 'id': 372, 'url': 'https://www.federalregister.gov/agencies/national-technical-information-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/372.json', 'parent_id': 54, 'slug': 'national-technical-information-service'}]","['Commerce Department', 'National Technical Information Service']",,2016-06-15,,,Opportunity To Enter Into a Joint Venture With the National Technical Information Service for Data Innovation Support,[],Notice
2016-12835,"The Energy Policy and Conservation Act of 1975, as amended (``EPCA'' or in context, ``the Act''), prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including battery chargers. EPCA also requires the U.S. Department of Energy (``DOE'' or, in context, ``the Department'') to determine whether Federal energy conservation standards for a particular type of product or equipment would be technologically feasible and economically justified, and would save a significant amount of energy. On March 27, 2012, DOE published a notice of proposed rulemaking (``NOPR'') to establish energy conservation standards for battery chargers. Responding to stakeholder comments, DOE updated its analysis and revised its proposed approach, resulting in a supplemental notice of proposed rulemaking (``SNOPR'') published on September 1, 2015. After considering all the stakeholder comments responding to the SNOPR, DOE is adopting the proposed energy conservation standards for battery chargers in this final rule. DOE has determined that these standards will result in the significant conservation of energy and are technologically feasible and economically justified.",Final rule.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],2016-08-12,2016-06-13,True,,Energy Conservation Program: Energy Conservation Standards for Battery Chargers,"['Administrative practice and procedure', 'Confidential business information', 'Energy conservation', 'Household appliances', 'Imports', 'Intergovernmental relations', 'Reporting and recordkeeping requirements', 'Small businesses']",Rule
2016-13057,"FRA is amending its Roadway Worker Protection (RWP) regulation to resolve interpretative issues that have arisen since the 1996 promulgation of that rule. In particular, this final rule adopts certain terms, resolves miscellaneous interpretive issues, codifies certain FRA Technical Bulletins, adopts new requirements governing redundant signal protections and the movement of roadway maintenance machinery over signalized non-controlled track, and amends certain qualification requirements for roadway workers. This final rule also deletes three outdated incorporations by reference of industry standards in FRA's Bridge Worker Safety Standards, and cross references the Occupational Safety and Health Administration's (OSHA) regulations on the same point.",Final rule; retrospective regulatory review (RRR).,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Railroad Administration', 'name': 'Federal Railroad Administration', 'id': 185, 'url': 'https://www.federalregister.gov/agencies/federal-railroad-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/185.json', 'parent_id': 492, 'slug': 'federal-railroad-administration'}]","['Transportation Department', 'Federal Railroad Administration']",2017-04-01,2016-06-10,False,,Railroad Workplace Safety; Roadway Worker Protection Miscellaneous Revisions (RRR),"['Bridges', 'Occupational safety and health', 'Penalties', 'Railroad safety', 'Reporting and recordkeeping requirements']",Rule
2016-13058,"In response to Congress' mandate in the Rail Safety Improvement Act of 2008 (RSIA), FRA is expanding the scope of its drug and alcohol regulation to cover MOW employees. This rule also codifies guidance from FRA compliance manuals, responds to National Transportation Safety Board (NTSB) recommendations, and adopts substantive amendments based upon FRA's regulatory review of 30 years of implementation of this part. The final rule contains two significant differences from FRA's July 28, 2014 Notice of Proposed Rulemaking (NPRM). First, it adopts part 214's definition of ``roadway worker'' to define ``MOW employee'' under this part. Second, because FRA has withdrawn its proposed peer support requirements, subpart K contains a revised version of the troubled employee identification requirements previously in subpart E.",Final rule.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Railroad Administration', 'name': 'Federal Railroad Administration', 'id': 185, 'url': 'https://www.federalregister.gov/agencies/federal-railroad-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/185.json', 'parent_id': 492, 'slug': 'federal-railroad-administration'}]","['Transportation Department', 'Federal Railroad Administration']",2017-06-12,2016-06-10,False,,Control of Alcohol and Drug Use: Coverage of Maintenance of Way (MOW) Employees and Retrospective Regulatory Review-Based Amendments,"['Alcohol abuse', 'Drug abuse', 'Drug testing', 'Penalties', 'Railroad safety', 'Reporting and recordkeeping requirements', 'Safety', 'Transportation']",Rule
2016-12547,"The Department of Energy (DOE or the Department) is proposing to amend its current chronic beryllium disease prevention program regulation. The proposed amendments would improve and strengthen the current provisions and continue to be applicable to DOE Federal and contractor employees who are, were, or potentially were exposed to beryllium at DOE sites.",Notice of proposed rulemaking and public hearings.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2016-06-07,False,,Chronic Beryllium Disease Prevention Program,"['Beryllium', 'Hazardous substances', 'Lung diseases', 'Occupational safety and health', 'Reporting and recordkeeping requirements']",Proposed Rule
