document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2016-13651,"Under the Medicare Shared Savings Program (Shared Savings Program), providers of services and suppliers that participate in an Accountable Care Organization (ACO) continue to receive traditional Medicare fee-for-service (FFS) payments under Parts A and B, but the ACO may be eligible to receive a shared savings payment if it meets specified quality and savings requirements. This final rule addresses changes to the Shared Savings Program, including: Modifications to the program's benchmarking methodology, when resetting (rebasing) the ACO's benchmark for a second or subsequent agreement period, to encourage ACOs' continued investment in care coordination and quality improvement; an alternative participation option to encourage ACOs to enter performance-based risk arrangements earlier in their participation under the program; and policies for reopening of payment determinations to make corrections after financial calculations have been performed and ACO shared savings and shared losses for a performance year have been determined.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2016-08-09,2016-06-10,False,,"Medicare Program; Medicare Shared Savings Program; Accountable Care Organizations-Revised Benchmark Rebasing Methodology, Facilitating Transition to Performance-Based Risk, and Administrative Finality of Financial Calculations","['Administrative practice and procedure', 'Health facilities', 'Health professions', 'Medicare', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2016-12262,"Section 4016 of the Agricultural Act of 2014 amended Section 11 of the Food and Nutrition Act of 2008 to require FNS to designate data exchange standards to govern both (1) necessary categories of information that SNAP State agencies operating related programs are required under applicable law to electronically exchange with another State agency, and (2) federal reporting and data exchange requirements under applicable law. The Act also directs FNS to consult with an interagency workgroup established by the Office of Management and Budget, which no longer exists, and to consider State government perspectives. As a result, FNS is issuing this Request for Information in order to obtain State government and other stakeholder perspectives as it considers how to best to proceed with establishing data exchange standards.",Notice.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200.json', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","['Agriculture Department', 'Food and Nutrition Service']",,2016-05-25,,,Request for Information: Supplemental Nutrition Assistance Program (SNAP) Data Exchange Standardization,[],Notice,Data Analytics
2016-11284,"In this document, the Federal Communications Commission (the Commission) fully modernizes the Lifeline program so it supports broadband services and obtains high value from the expenditure of Universal Service funds. This Order will increase consumer choice and encourage competition among Lifeline providers to deliver supported broadband services.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2016-06-23,2016-05-24,,,"Lifeline and Link Up Reform and Modernization, Telecommunications Carriers Eligible for Universal Service Support, Connect America Fund","['Communications common carriers', 'Reporting and recordkeeping requirements', 'Telecommunications', 'Telephone']",Rule,Data Analytics
2016-10461,,,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2016-05-17,,,Joint Industry Plan; Notice of Filing of the National Market System Plan Governing the Consolidated Audit Trail,[],Notice,Data Analytics
2016-11176,"Under the provisions of the Federal Advisory Committee Act of 1972 (5 U.S.C., Appendix, as amended), the Government in the Sunshine Act of 1976 (5 U.S.C. 552b, as amended), and 41 CFR 102-3.150, the Department of Defense announces that the United States Air Force (USAF) Scientific Advisory Board (SAB) Summer Board meeting will take place on 15 June 2016 at the Arnold & Mabel Beckman Center, located at 100 Academy Drive in Irvine, CA 92617. The meeting will occur from 8:00 a.m.-4:00 p.m. on Wednesday, 15 June 2016. The session that will be open to the general public will be held from 8:30 a.m. to 9:00 a.m. on 15 June 2016. The purpose of this Air Force Scientific Advisory Board quarterly meeting is to finalize FY16 SAB studies, which consist of: Data Analytics to Support Operational Decision Making (DAN), Responding to Uncertain or Adaptive Threats in Electronic Warfare (AEW), and Airspace Surveillance to Support A2/AD Operations (ASV). In accordance with 5 U.S.C. 552b, as amended, and 41 CFR 102-3.155, a number of sessions of the USAF SAB Summer Board meeting will be closed to the general public because they will discuss classified information and matters covered by Section 552b of Title 5, United States Code, subsection (c), subparagraph (1). Any member of the public that wishes to attend this meeting or provide input to the USAF SAB must contact the SAB meeting organizer at the phone number or email address listed in this announcement at least five working days prior to the meeting date. Please ensure that you submit your written statement in accordance with 41 CFR 102-3.140(c) and section 10(a)(3) of the Federal Advisory Committee Act. Statements being submitted in response to the agenda mentioned in this notice must be received by the SAB meeting organizer at least five calendar days prior to the meeting commencement date. The SAB meeting organizer will review all timely submissions and respond to them prior to the start of the meeting identified in this noice. Written statements received after this date may not be considered by the SAB until the next scheduled meeting.",Meeting notice.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Air Force', 'name': 'Air Force Department', 'id': 13, 'url': 'https://www.federalregister.gov/agencies/air-force-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/13.json', 'parent_id': 103, 'slug': 'air-force-department'}]","['Defense Department', 'Air Force Department']",,2016-05-12,,,U.S. Air Force Scientific Advisory Board Notice of Meeting,[],Notice,Data Analytics
2016-10320,"The Federal Transit Administration (FTA) announces the availability of $8 Million in Fiscal Year (FY) 2014 and FY 2016 research funds, for a new program to demonstrate and evaluate innovative approaches to integrated ``Mobility on Demand'' (MOD) solutions within a public transportation framework. The MOD Sandbox Demonstration Program is intended to provide a platform where integrated MOD concepts and solutions are supported and demonstrated through local partnerships in a real-world setting. FTA will fund project teams to adopt innovative business models to deliver high quality, seamless and equitable mobility options for all travelers. The MOD Sandbox further emphasizes FTA's interest in transit and mobility innovation, and builds upon FTA's recent XPEDITE Innovation initiative, which sought industry input through an online dialogue on transit innovation, particularly technology trends that increase public transportation efficiency, effectiveness and enhance the quality of customer travel. This notice also includes: (1) Reference to a number of areas for demonstrations of particular interest to FTA (to be used to guide but not limit innovative proposal concepts), (2) criteria that the FTA will use to identify projects for funding, and (3) the process for applying for the funding. This announcement is available on the FTA Web site at: http:// www.fta.dot.gov. A synopsis of this funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http://www.GRANTS.GOV. FTA will announce final selections on the FTA Web site and may also announce selections in the Federal Register.",Notice of Funding Opportunity (NOFO) and Solicitation of Project Proposals for the Mobility on Demand (MOD) Sandbox Demonstration Program.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Transit Administration', 'name': 'Federal Transit Administration', 'id': 193, 'url': 'https://www.federalregister.gov/agencies/federal-transit-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/193.json', 'parent_id': 492, 'slug': 'federal-transit-administration'}]","['Transportation Department', 'Federal Transit Administration']",,2016-05-03,,,Public Transportation Innovation Funding Opportunity; Mobility on Demand (MOD) Sandbox Demonstration Program,[],Notice,Data Analytics
2016-09668,"The President's National Security Telecommunications Advisory Committee (NSTAC) will meet on Wednesday, May 11, 2016, in Santa Clara, California. The meeting will be open to the public.",Committee Management; Notice of Federal Advisory Committee Meeting.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],,2016-04-26,,,President's National Security Telecommunications Advisory Committee,[],Notice,Data Analytics
2016-09056,The Commission is publishing this concept release to seek public comment on modernizing certain business and financial disclosure requirements in Regulation S-K. These disclosure requirements serve as the foundation for the business and financial disclosure in registrants' periodic reports. This concept release is part of an initiative by the Division of Corporation Finance to review the disclosure requirements applicable to registrants to consider ways to improve the requirements for the benefit of investors and registrants.,Concept release.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2016-04-22,False,,Business and Financial Disclosure Required by Regulation S-K,[],Proposed Rule,Data Analytics
2016-04800,"The Occupational Safety and Health Administration (OSHA) is amending its existing standards for occupational exposure to respirable crystalline silica. OSHA has determined that employees exposed to respirable crystalline silica at the previous permissible exposure limits face a significant risk of material impairment to their health. The evidence in the record for this rulemaking indicates that workers exposed to respirable crystalline silica are at increased risk of developing silicosis and other non-malignant respiratory diseases, lung cancer, and kidney disease. This final rule establishes a new permissible exposure limit of 50 micrograms of respirable crystalline silica per cubic meter of air (50 [mu]g/m\3\) as an 8-hour time- weighted average in all industries covered by the rule. It also includes other provisions to protect employees, such as requirements for exposure assessment, methods for controlling exposure, respiratory protection, medical surveillance, hazard communication, and recordkeeping. OSHA is issuing two separate standards--one for general industry and maritime, and the other for construction--in order to tailor requirements to the circumstances found in these sectors.",Final rule.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Occupational Safety and Health Administration', 'name': 'Occupational Safety and Health Administration', 'id': 386, 'url': 'https://www.federalregister.gov/agencies/occupational-safety-and-health-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/386.json', 'parent_id': 271, 'slug': 'occupational-safety-and-health-administration'}]","['Labor Department', 'Occupational Safety and Health Administration']",2016-06-23,2016-03-25,True,,Occupational Exposure to Respirable Crystalline Silica,"['Cancer', 'Chemicals', 'Hazardous substances', 'Health', 'Lung diseases', 'Occupational safety and health', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2016-04305,"Under the provisions of the Federal Advisory Committee Act of 1972 (5 U.S.C., Appendix, as amended), the Government in the Sunshine Act of 1976 (5 U.S.C. 552b, as amended), and 41 CFR 102-3.150, the Department of Defense announces that the United States Air Force (USAF) Scientific Advisory Board (SAB) Spring Board meeting will take place on 19 April 2016 at the 612th Air Operations Center, located at 2915 S Twelfth AF Drive, Davis-Monthan AFB, AZ, 85707-4100. The meeting will occur from 7:30 a.m.-12:00 p.m. on Tuesday, 19 April 2016. The session open to the general public will be held from 7:30 a.m. to 8:00 a.m. on 19 April 2016. The purpose of this Air Force Scientific Advisory Board quarterly meeting is to conduct a midterm review of FY16 SAB studies, which consist of: (1) Directed Energy Maturity for Airborne Self- Defense Applications, (2) Data Analytics to Support Operational Decision Making, (3) Responding to Uncertain or Adaptive Threats in Electronic Warfare, and (4) Airspace Surveillance to Support A2/AD Operations. In accordance with 5 U.S.C. 552b, as amended, and 41 CFR 102-3.155, a number of sessions of the USAF SAB Spring Board meeting will be closed to the public because they will discuss classified information and matters covered by Section 552b of Title 5, United States Code, subsection (c), subparagraph (1). Any member of the public that wishes to attend this meeting or provide input to the USAF SAB must contact the USAF SAB meeting organizer at the phone number or email address listed below at least ten working days prior to the meeting date. Please ensure that you submit your written statement in accordance with 41 CFR 102-3.140(c) and section 10(a)(3) of the Federal Advisory Committee Act. Statements being submitted in response to the agenda mentioned in this notice must be received by the USAF SAB meeting organizer at the address listed below at least five calendar days prior to the meeting commencement date. The USAF SAB meeting organizer will review all timely submissions and respond to them prior to the start of the meeting identified in this noice. Written statements received after this date may not be considered by the USAF SAB until the next scheduled meeting.",Meeting notice.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Air Force', 'name': 'Air Force Department', 'id': 13, 'url': 'https://www.federalregister.gov/agencies/air-force-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/13.json', 'parent_id': 103, 'slug': 'air-force-department'}]","['Defense Department', 'Air Force Department']",,2016-02-29,,,U.S. Air Force Scientific Advisory Board Notice of Meeting,[],Notice,Data Analytics
2016-03657,"The President's National Security Telecommunications Advisory Committee (NSTAC) will meet via teleconference on Thursday, March 10, 2016. The meeting will be open to the public.",Committee management; notice of Federal Advisory Committee Meeting.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],,2016-02-23,,,The President's National Security Telecommunications Advisory Committee,[],Notice,Data Analytics
2016-02592,"The Food and Drug Administration (FDA) is announcing the following public workshop entitled, ``Advancing the Development of Biomarkers in Traumatic Brain Injury.'' This workshop aims to examine potential biomarkers, discuss the challenges and solutions related to biomarker development methodologies, and establish strategies for data standardization, sharing and analysis of big data sets for traumatic brain injury (TBI). By convening the relevant stakeholders, the goal is to obtain input on the scientific, clinical, patient, and regulatory considerations associated with TBI biomarker development to improve diagnosis and clinical utility for TBI.",Notice of public workshop; request for comments.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2016-02-10,,,Advancing the Development of Biomarkers in Traumatic Brain Injury; Public Workshop; Request for Comments,[],Notice,Data Analytics
2016-01748,"Under the Medicare Shared Savings Program (Shared Savings Program), providers of services and suppliers that participate in an Accountable Care Organization (ACO) continue to receive traditional Medicare fee-for-service (FFS) payments under Parts A and B, but the ACO may be eligible to receive a shared savings payment if it meets specified quality and savings requirements. This proposed rule addresses changes to the Shared Savings Program that would modify the program's benchmark rebasing methodology to encourage ACOs' continued investment in care coordination and quality improvement, and identifies publicly available data to support modeling and analysis of these proposed changes. In addition, it would streamline the methodology used to adjust an ACO's historical benchmark for changes in its ACO participant composition, offer an alternative participation option to encourage ACOs to enter performance-based risk arrangements earlier in their participation under the program, and establish policies for reopening of payment determinations to make corrections after financial calculations have been performed and ACO shared savings and shared losses for a performance year have been determined.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2016-02-03,False,,"Medicare Program; Medicare Shared Savings Program; Accountable Care Organizations-Revised Benchmark Rebasing Methodology, Facilitating Transition to Performance-Based Risk, and Administrative Finality of Financial Calculations","['Administrative practice and procedure', 'Health facilities', 'Health professions', 'Medicare', 'Reporting and recordkeeping requirements']",Proposed Rule,Data Analytics
2015-30690,"Publication of the Unified Agenda of Regulatory and Deregulatory Actions and the Regulatory Plan represent key components of the regulatory planning mechanism prescribed in Executive Order 12866, ``Regulatory Planning and Review'' (58 FR 51735) and incorporated in Executive Order 13563, ``Improving Regulation and Regulatory Review'' issued on January 18, 2011 (76 FR 3821). The fall editions of the Unified Agenda include the agency regulatory plans required by E.O. 12866, which identify regulatory priorities and provide additional detail about the most important significant regulatory actions that agencies expect to take in the coming year. In addition, the Regulatory Flexibility Act requires that agencies publish semiannual ``regulatory flexibility agendas'' describing regulatory actions they are developing that will have significant effects on small businesses and other small entities (5 U.S.C. 602). The Unified Agenda of Regulatory and Deregulatory Actions (Unified Agenda), published in the fall and spring, helps agencies fulfill all of these requirements. All federal regulatory agencies have chosen to publish their regulatory agendas as part of this publication. The complete Unified Agenda and Regulatory Plan can be found online at http://www.reginfo.gov and a reduced print version can be found in the Federal Register. Information regarding obtaining printed copies can also be found on the Reginfo.gov Web site (or below, VI. How Can Users Get Copies of the Plan and the Agenda?). The fall 2015 Unified Agenda publication appearing in the Federal Register consists of The Regulatory Plan and agency regulatory flexibility agendas, in accordance with the publication requirements of the Regulatory Flexibility Act. Agency regulatory flexibility agendas contain only those Agenda entries for rules that are likely to have a significant economic impact on a substantial number of small entities and entries that have been selected for periodic review under section 610 of the Regulatory Flexibility Act. The complete fall 2015 Unified Agenda contains the Regulatory Plans of 30 Federal agencies and 59 Federal agency regulatory agendas.",Introduction to the Regulatory Plan and the Unified Agenda of Federal Regulatory and Deregulatory Actions.,"[{'raw_name': 'REGULATORY INFORMATION SERVICE CENTER', 'name': 'Regulatory Information Service Center', 'id': 449, 'url': 'https://www.federalregister.gov/agencies/regulatory-information-service-center', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/449.json', 'parent_id': None, 'slug': 'regulatory-information-service-center'}]",['Regulatory Information Service Center'],,2015-12-15,,,Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions,[],Proposed Rule,Data Analytics
2015-30968,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2015-12-09,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Analytics
2015-30591,"This final rule will extend enhanced funding for Medicaid eligibility systems as part of a state's mechanized claims processing system, and will update conditions and standards for such systems, including adding to and updating current Medicaid Management Information Systems (MMIS) conditions and standards. These changes will allow states to improve customer service and support the dynamic nature of Medicaid eligibility, enrollment, and delivery systems.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2016-01-01,2015-12-04,False,,Medicaid Program; Mechanized Claims Processing and Information Retrieval Systems (90/10),"['Administrative practice and procedure', 'Child support', 'Claims', 'Computer technology', 'Grant programs-health', 'Grant programs-social programs', 'Medicaid', 'Reporting and recordkeeping requirements', 'Social security']",Rule,Data Analytics
2015-30590,"Under the provisions of the Federal Advisory Committee Act of 1972 (5 U.S.C., Appendix, as amended), the Government in the Sunshine Act of 1976 (5 U.S.C. 552b, as amended), and 41 CFR 102-3.150, the Department of Defense announces that the United States Air Force (USAF) Scientific Advisory Board (SAB) Winter Board meeting will take place on 19 January 2016 at the Arnold & Mabel Beckman Center, located at 100 Academy Drive in Irvine, CA 92617. The meeting will occur from 8:00 a.m.-4:00 p.m. on Tuesday, 19 January 2016. The session open to the general public will be held from 8:00 a.m. to 8:30 a.m. on 19 January 2016. The purpose of this Air Force Scientific Advisory Board quarterly meeting is to officially commence FY16 SAB studies, which consist of: (1) Directed Energy Maturity for Airborne Self-Defense Applications, (2) Data Analytics to Support Operational Decision Making, (3) Responding to Uncertain or Adaptive Threats in Electronic Warfare, and (4) Airspace Surveillance to Support A2/AD Operations. In accordance with 5 U.S.C. 552b, as amended, and 41 CFR 102-3.155, a number of sessions of the USAF SAB Winter Board meeting will be closed to the public because they will discuss classified information and matters covered by Section 552b of Title 5, United States Code, subsection (c), subparagraph (1). Any member of the public that wishes to attend this meeting or provide input to the USAF SAB must contact the USAF SAB meeting organizer at the phone number or email address listed below at least five working days prior to the meeting date. Please ensure that you submit your written statement in accordance with 41 CFR 102-3.140(c) and section 10(a)(3) of the Federal Advisory Committee Act. Statements being submitted in response to the agenda mentioned in this notice must be received by the USAF SAB meeting organizer at the address listed below at least five calendar days prior to the meeting commencement date. The USAF SAB meeting organizer will review all timely submissions and respond to them prior to the start of the meeting identified in this noice. Written statements received after this date may not be considered by the USAF SAB until the next scheduled meeting.",Meeting notice.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Air Force', 'name': 'Air Force Department', 'id': 13, 'url': 'https://www.federalregister.gov/agencies/air-force-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/13.json', 'parent_id': 103, 'slug': 'air-force-department'}]","['Defense Department', 'Air Force Department']",,2015-12-03,,,U.S. Air Force Scientific Advisory Board; Notice of Meeting,[],Notice,Data Analytics
2015-29438,"This final rule implements a new Medicare Part A and B payment model under section 1115A of the Social Security Act, called the Comprehensive Care for Joint Replacement (CJR) model, in which acute care hospitals in certain selected geographic areas will receive retrospective bundled payments for episodes of care for lower extremity joint replacement (LEJR) or reattachment of a lower extremity. All related care within 90 days of hospital discharge from the joint replacement procedure will be included in the episode of care. We believe this model will further our goals in improving the efficiency and quality of care for Medicare beneficiaries with these common medical procedures.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2016-01-15,2015-11-24,False,,Medicare Program; Comprehensive Care for Joint Replacement Payment Model for Acute Care Hospitals Furnishing Lower Extremity Joint Replacement Services,"['Administrative practice and procedure', 'Health facilities', 'Medicare', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2015-29630,"In accordance with the Privacy Act of 1974, as amended (Privacy Act), the National Aeronautics and Space Administration (NASA) publishes this notice of a new system of records entitled ``The Office of Inspector General Advanced Data Analytics System (ADAS)'' (System Number NASA 10IGDA. This system will store individually identifying information from a variety of individuals who have applied for or received grants, contracts, loans, or payments from NASA, including current and former employees of NASA, contractors, and subcontractors, and others whose actions have affected NASA.",Notice of a new system of records.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],2015-12-22,2015-11-20,,,Privacy Act of 1974; System of Records-Office of Inspector General Advanced Data Analytics System,[],Notice,Data Analytics
2015-27599,"This final rule finalizes waivers of the application of the physician self-referral law, the Federal anti-kickback statute, and the civil monetary penalties (CMP) law provision relating to beneficiary inducements to specified arrangements involving accountable care organizations (ACOs) under section 1899 of the Social Security Act (the Act) (the ``Shared Savings Program''), as set forth in the Interim Final Rule with comment period (IFC) dated November 2, 2011. As explained in greater detail below, in light of legislative changes that occurred after publication of the IFC, this final rule does not finalize waivers of the application of the CMP law provision relating to ``gainsharing'' arrangements. Section 1899(f) of the Act, as added by the Affordable Care Act, authorizes the Secretary to waive certain fraud and abuse laws as necessary to carry out the provisions of section 1899 of the Act.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of Inspector General'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of Inspector General']",2015-10-29,2015-10-29,True,,Medicare Program; Final Waivers in Connection With the Shared Savings Program,[],Rule,Data Analytics
